clean_text,label,label_prediksi
game bagus karena saya selalu pikir sawit,positif,positif
gamenya jelek kurang hd bikin sakit mata,negatif,negatif
dev nya gabut ,positif,netral
tidak ad gibran ama bahlil tambahin  bg sama sahroni juga kalo bisa hehehehe,positif,negatif
agak bagus karena karakter kurang,positif,positif
seru banget tapi update game nya jadi lebih tantang agak lebih sulit,positif,netral
game nya seru tapi saat kita serang lawan nya langsung tidur jadi susah habisin darah kalo bos pas nyerang dikit dikit tidur jadi tolong ubah agar tidak begitu,positif,negatif
seru banget game,positif,positif
sangat seru,positif,positif
bagus,positif,positif
bagus gamenya tapi karakter tidak bisa beli pake iklan,positif,negatif
absolute cema buat developer nya,positif,netral
tambahin karakter bawa mbg,positif,positif
game ya bagus,positif,positif
game nya realistis seru banget buat belum main harus cobainkapan pagi liat wowo pukulin,positif,netral
ah terlalu gampang tapi gpp lumayan bagus saya ngakak pas pake jokowi terus nyerang nya ada pake sniper ,positif,netral
baru tau jokowi jadi mafia nanti update ya tambahin bahlil sama gibran kaisang request nanti bahlilnya jadi vampir penghisap etanol ya sama ada sawit juga oke segitu saja terimakasih,positif,positif
bagus  cuman lawan makin lama makin jago banyak tapi darah tidak bisa ngisi lagi padahal level nya susah sama lawan banyak mana level dikit lagi cuman tapi walaupun gitu tapi tetap seru  walaupun tidak bisa lari,positif,negatif
game jelek bos susah dikalahin toll,negatif,negatif
saya kasih bintang karena kalo pake jokowi enak bgtgw belum download jire,positif,negatif
game tidak kelas banyak iklan nya patah patah pulak jangan download jelek banget game nya,negatif,negatif
game nya sangat seru saya sampai bosan main nya saya kasih bintang lima karena ada jokowi,positif,positif
tidak bisa salto,negatif,netral
good game,positif,positif
ahok mirip bigmo,positif,positif
game nya jelek,negatif,negatif
game sangat rekomendasi ngabuburit hidup developer ,positif,positif
game gg semangat buat developers,positif,positif
game nya lumayan bagus betul saya habis tembok retapan solo telah pulang situ saya langsung donlot game sudah memainkanya kali hari habis sholat shubu maghrib moga terus konsisten moga saya dapat karomah keluarga yth bapak hj ir joko widodo,positif,positif
game nya sangat seru apalagi pria solo pria sawit op banget tapi agak tingkatin grafik ya,positif,positif
itu pria solo,negatif,positif
pel bikin game dua nya mana jokowi tarung hadap monster gorong gorong seperti tikus raksasa,positif,positif
game ngawu,positif,negatif
game asyik banget kalian wajib cobain  game nya,positif,negatif
tambahin bahlil bg sama latar tarung nya lahan sawit,positif,positif
tambahin bahlil armor etanol sama prabowo armor sawit,positif,positif
bagus bangat,positif,positif
bagus wajib coba,positif,positif
game nya simple tapi bikin nagih sumpah tapi saya tidak nemu tombol pause nyata ngepause nya pake tombol setting dong,positif,positif
anjir presiden bisa tarung njir,positif,positif
saya sudah namatin game jujur game seru tapi level buat lebih ngotak dulu gua make bodyguard masih kalah,positif,positif
game nya bagus ku kasih bintang lima,negatif,negatif
game nya molyono jir,positif,netral
pria solo bawa beceng baik  ku beri kau bintang lima,positif,negatif
wow jangan lupa tambah  fitur nanam sawit nya ya wok tambah  juga bahlil sudah saja wok,positif,positif
saya ngansik bintang karena bagus juga tidak selalu tidak iklan ,positif,negatif
game jelek lindung kita hilang kalau tinggal,negatif,negatif
paksa rate,negatif,positif
tambah karakter bahlil,positif,positif
seru banget gamenya walapun simpel tapi hd in dikit lagi grafik lebih sudah bagus kata saya,positif,positif
tambah bahlil bang,positif,positif
gang seru,positif,positif
saya sudah selesai semua level level kurang banyak tambahin  level gamenya seru bagus tapi level kok cuman sama tambahin final boss kek atau apa kurang tantang,positif,positif
hidup jokowii,positif,positif
game sangat bagus tapi tolong abdet lagi,positif,positif
gamenya tidak ngotak,negatif,negatif
saran saya si ni game bagus sebenernya tapi tambahin fitur semacem dash bisa dodge serang musuh gitu bagus harus stage saja saya kewalahan ngelawan musuh rame gitu soal animasi serang gabisa cancel ngebikin saya ditembakin mulu ampe mati,positif,netral
game nya bagus simple ramah seru cocok main sama sepupu tapi boonk,negatif,positif
bagus ada fufufafa tapi ada sahroni tidak mati mati,netral,positif
game nya bagus banget sumpahgua sampe tidak download,negatif,netral
bagus tapi kalo bisa pas musuh lempar belakang masih bisa pukul biar bisa combo kayak dmc  hebat sama juga bisa combo aerial juga pas lagi udara mwehehehehe,positif,netral
game nya sangat bagus saya ingin sol bagai rakyat biasa,positif,positif
game nya bagus banget bg jangan semangat ,negatif,positif
game apa rad banget jangan donglot bagi hapenya kentang btw bintang lima good game,negatif,negatif
lebih seru kalo gamenya bisa mabar,netral,positif
game nya bagus kece badai jadi saya kasih bintang karena saya siggma wing skibidiy ,negatif,positif
game nya seru tapi karakter kurang banyak coba tambahin lagi kaya bahlil dll pasti bagus tambahin lagi musuh nya kaya ambaruwo dlm,positif,positif
game nya bagus guwa kasih bintang plus sigma,negatif,negatif
bgus  tapi sayang grafik buriq kek ep ep,positif,positif
gamenya sangat bagus sangat jarang ada game tualang tentang jokowi tapi tolong tambahin karakter bapak jokowi ibu jokowi anak jokowi kakek jokowi nenek jokowi kakek buyut jokowi nenek buyut jokowi sudara jokowi teman jokowi sahabat jokowi pacar jokowi followers jokowi teman dekat jokowi dll tolong tambahin juga fitur mode depo grafik anime mode hemat data anti korup multiplayer online mode survival hardcore mode sejarah sedikit saja ,positif,positif
sherlok tidak paran ,positif,negatif
bagus sekali saya sampai kamar mandi x game sangat cocok main oleh anak muda sang sama jokowai,positif,positif
gime ny jwlek ad bokep nta,negatif,positif
bg gemnya kok tidak ada fitur telkomsel ,negatif,negatif
tetapi rewardnya gimana,negatif,positif
game nya bagus bagus hapus,positif,positif
game nya bagus ,positif,positif
gamenya bagus tapi kalo bisa tambahin psht sama kera sakti jadiin sama tambahin si sahroni jadi bos senjata si piala sendiri,negatif,positif
game nya tidak bagus karena saya belum mainin  kalo jelek saya laporin developer nya karena tidak bisa buat game minimal buat game hd  jangan jokowi,netral,negatif
jelek ah karakter nya kgk bisa comlay pake rinso,negatif,negatif
bagus grafik juga oke,negatif,positif
game nya bagus tapi ada kurang jokowi nya tidak bisa ngomong wiwokdetok,positif,netral
tolong tambah skin jokowi pancing ahmad syahroni ulti,negatif,positif
hidup jokowi,positif,positif
game aneh,negatif,negatif
bagus gamenya,positif,positif
sangat bagus,positif,positif
game sangat bagus kualitas nya lebih flim karya anak bangsa baru indonesia one for all,positif,positif
jokowi in big  ,positif,positif
tolong kembali beberapa ciri khas game belum update besar seperti nama nama boss unik contoh heru kelink maman ade konde dkk lalu mekanik lebih baik kembali seperti dulu tidak ada kombo otomatis tapi buat lebih tarik tidak monoton kembali juga mekanik hancur kotak barrel isi senjata heal bisa guna lalu ukur map juga terlalu besar kamera terlalu jauh karakter lebih baik seperti dulu,negatif,netral
hidup jokowi,positif,positif
game sangat bagus sangat inspirasi golong mudah moga game jadi game of the year,positif,positif
buat open world bang tema tema indonesia gituu,positif,positif
bagus banget game nya hebat abis saran tambah skin psht biar tambah rame game nya mainin sudah segitu saja terimakasih sudah buat game bagus banget,positif,positif
terimakasih pak jokowi,positif,positif
tolong update lagi lebih bagus tambah ceritacombo serangannyamap nyaatau bos nya tambahin sumpah game lumayan tarik seru,positif,positif
goty kalah si botak kembar universe,positif,negatif
next buat tualang prabowo bang,positif,positif
developer moga tidak ilang ya bang wkwkwkwk,positif,netral
ya ya ya saya tuju kembang lagi gamenya,positif,positif
tidak ada goronggorongnya,negatif,negatif
tualang mulyono,positif,positif
lebih bagus game upin ipin universitas wkwokwowkwkwowi,positif,positif
tolong upgrade lagi  ilangin pak ahoknya,positif,positif
jelek,negatif,negatif
master piece,positif,positif
mana part nya,positif,positif
tolong buat developer buat jokowi vs prabowo jamin jt download ,netral,positif
gamenya bagus lebih tualang game belah lebih banyak bug nya tingkat lagi game tambah lagi characternya juga skill nya lebih op,positif,positif
bagus btw kapan ada tualang jokowi,positif,positif
gamenya bagus bang,positif,positif
gamenya lebih bagus upin ipin universe,positif,positif
mekanisme gamenya sangat bagus hebat saran saya tolong tambah karakter bahlil luhut gibran natalius pigai kaesang sambo sri mulyani nasution tolong tambah elemen tiap karakter contoh bahlil milik elemen tambang bisa keluar emas batu bara dllnya seperti gibran bisa ubah jadi robot ai seperti luhut bisa keluar listrik seperti natalius pigai jadi ambaruwoe hytam,positif,positif
better than upin ipin game,positif,positif
game baik saya main lama,positif,positif
gamenya sudah bagus segi grafik cerita tapi kontrol bug baik lagi saya tidak nyaman bug nya apalagi jalan lambat banget kontrol juga sangat lambat tidak sesuai pas tekan agak delay kalo bisa gera nya ubah lari saja jangan jalan soal lambat sekali,netral,netral
sengaja kasi bintang karena hero mega chan alias mega wati belum ada pliss update biar makin rasa muak perintah ,negatif,positif
update jadi lebih bagus ,positif,positif
game nya bagus hd beut tapi baik  bodyguard nya masa saling adu jotos  paok,positif,positif
sangat reqomendet,positif,positif
game mantab asa kaya bangun dinasty kuasa game lain lewat pokok ,positif,negatif
jujur sj saya tidak rasa unsur jokowi darimanapun selain skin nyatapi overall game sangat asik tidak ada rewardiklan mengganggusaran saya  mgkin last stage ada macam hadiah upacara nobat presiden stelah musnah terorissekian trimxs terus semangat developer,positif,positif
game upon upon mahal mendinh,positif,negatif
kalau main jamin anda auto sigmaa,positif,positif
sangat bagus,positif,positif
bagus gamenya,positif,positif
game saya rekomendasi karena bagus tantang unik baik main,positif,positif
anjjokowi jamsutawokawok prabowo pshtahok seluncur mantap wak teruskantambahin level nya  btw,positif,positif
game sangat seru,positif,positif
umat manusia harus tau game,positif,positif
endingnya tidak ada ijazah gimana,positif,netral
gamenya sangat baguskeren banget pokok,positif,positif
tolong updatean lanjut dibenerin bug nya analog sudah gerak tapi karakter jalan tempat animasi gera rangin pas selesai mu orang gaya muternya lama nambah nambahin level tapi deg ma hp gaada rasa sama sekali sampe bosen main game ulang ulang terus buat ngumpulin uang  malah gada rasa,negatif,positif
aseli kalo main game rasa sigmany rasa guys kaya ngefly gitu tidak kasih bintang wok,positif,negatif
adminnya asik bjir,positif,positif
sangat bagus karena game ingat baik pakde jokowi,positif,positif
terimakasih pak jokowi,positif,positif
game bagus cocok main ketika pusing antuk saat main hsr ,positif,positif
wong tuek nggo dolan,positif,positif
jokowi sniper op,positif,positif
bagus,positif,positif
bgus,positif,positif
game of the year yansunkakibieb my goat,positif,netral
game bagus bahkan lebih bagus hsr sama genshin  grafik wow wow banget omgg love u depeloper ,positif,netral
jokowi pake sniper gimana cerita,negatif,positif
jokowi nya op pake sniperr,positif,positif
bang tambahin karakter fufufafa,positif,positif
seruu seruu ,positif,positif
hidup jokowii,positif,positif
belum login wok tapi ana kasing b terima kasih pak jokowii,positif,positif
game apa dawg ,positif,negatif
game baik pernah saya main,positif,positif
game ny sangat bagus gamenya sangat bagus game nya sangat bagus,negatif,positif
level rame banget woy ,positif,positif
kontrol susah darah tidak jelas,negatif,negatif
hidup jokowii,positif,positif
game apa susah mainin mati mulu,negatif,negatif
kapan updatenya kak,positif,positif
game ny bagus tapi tolong tambah karakter nya,positif,positif
bagus saya suka jokowi ,positif,positif
game baik panjang masa hidup jokowii,positif,positif
seru banget game mulyono satu size ringan kita bisa ajar politik lebih dalam harap saya depan game jadi open world tema kota surakarta,positif,positif
bagus gamenyatambah lagi karakter keluarga mulyono,positif,positif
sangat tantang adrenalin buat birah getar,positif,positif
kerenn,positif,positif
bagus man,positif,positif
gamenya bagus tapi mohon boleh tambahin karakter kaesang,positif,positif
game aneh kaya nama,negatif,negatif
hama,negatif,positif
hero overpower,positif,positif
gg walau gajelas,positif,positif
incredible,positif,positif
bagus bang sekali tambahin presiden lain,positif,positif
oke gas oke gas,negatif,positif
game sangat bagus orang indonesia tolong baik bug saya sudah beli jokowi pas mau reset tiba tiba jokowi ku hilang lagi kunci lagi tapi game sangat bagus sekali,positif,positif
tambahin cerita  min,positif,positif
bagus game nya kalau boleh req plis tambahin mega  jadi boss nya pasti bagus,positif,positif
segi game play bagus tapi ada kurang kaya misal musuh pake senjata nah pas dia mati bisa ambil harus ya gitu saja  saya anak kucai,netral,netral
sagat asik,positif,positif
jejek,negatif,positif
game nya bagus,positif,positif
grafik bagus bagus sekali gamenya,positif,positif
nice,positif,positif
plis sigma developer kasih saya aura biar menang ngelawan fanum tax soal terlalu big l sangat tidak sah main luar ngeri jadi plis tambahin karakter unnie sama youngme biar enak lihat,negatif,positif
awoakawok tualang mulyono,positif,positif
game sangat buat dev update depan kasih karakter baru bapak maruf amin kasih skill diem tapi mati,netral,positif
bagus game nya,negatif,positif
woy saya sudah download kenapa tidak bisa mainin tiap kali loading keluar mulu malas banget mending main game bayi saja  main game ngeleg gin,negatif,negatif
game nya seru terus tidak pake paket,positif,negatif
gibran mati masih bisa jalan,negatif,netral
tolong  masa nge ulti darah kurang  tolong update ikut ngultinya ada kuldon nya tidak usah darah nya kurang oke devoloper,positif,positif
pajril,negatif,positif
bagus,positif,positif
game jelek anj ,negatif,negatif
geme yah bagus bagus,positif,positif
sangat seru,positif,positif
era prabowo skrg bang,negatif,positif
terlalu susah awal nya susah si musnahin,negatif,negatif
jelek kyk jokowi,negatif,negatif
titik,positif,positif
saran kalau bisa tambahin anies sama rocky gerung,netral,positif
bagus ada gibran,positif,positif
the basurd game sih,positif,netral
game nya seru sudah gitu saja saya males nulis,positif,positif
game jelek def nya pasti smp,negatif,negatif
saya suka game karena saya sigma skibidi ,positif,positif
mantapp gann mungkin tambahin lagi karakter min hallo admin ganteng,positif,positif
bang coba tambahin kaya megawati ganjar anies bj habiebie soekarno semangat bang,positif,positif
gamenya ngawurr poll mantapp  lain kli bikin lebih ngawur dev ahok njir,positif,positif
mantep  game nya tapi agak laen,positif,positif
developer dungu,negatif,netral
game nya bagus ,positif,positif
ahoknya bengak,negatif,positif
bagus  cuma gime nya terlalu susah coy pdhl baru lvl pertama ,positif,positif
anjirr lahh,positif,positif
gamenya sangat gambar budaya indonesia mana tangan cipta pukul pukul develepor baik,positif,positif
tualang pak jokowi seru banget,positif,positif
 ko ada bakso,positif,positif
hibur sekali,positif,positif
saya mau seprei gratis ,positif,positif
tidak ada fitur seks,positif,negatif
jokowi for periode,positif,positif
game nya bagus banget tapi kurang game engak ada lv baru nya mohon banget moga updet,positif,positif
game nya bagus banget njirr,positif,positif
seru banget tapi tambahin sukarno,positif,positif
susah banget gameny,negatif,negatif
bagus awokawkokwok,positif,positif
game bagus pak jokowi bisa salto,positif,positif
game nya bagus saya taro bintang,negatif,positif
bagus bang karakter tapi sayang cuma sedikit karakter kasih dulu tutor,positif,positif
saya suka,positif,positif
mungkin sangat bantu anda aplikasi seperti nya bagus,positif,positif
saya bangga jadi rakyat indonesia  moga negara republik indonesia sabang sampai merauke selalu dalam lindung allah swt aamiin yaa allah aamiin ,positif,positif
tidak bagus ada nuansa politik nya tidak netralerror masa polisi tembakin terus sampai matigak bisa ngelawanini game sangat buruk,negatif,netral
mat ngarit,positif,positif
gamenya sangat tolol,negatif,positif
admin musuh harus tambah seperti helena lim harvey mois dkk lai biar lebih seru lagi,netral,positif
kapan bikin sekuelsekalian masukin telur windaw batubara biar rame,positif,positif
game nya bagus banget,positif,positif
tidak jelas game nya,negatif,negatif
game nya sangat bagus sekali,positif,positif
harus awal main kasih tutor dlu harus ngapain bisa lanjut misi lanjut segera baik,negatif,negatif
segi game bagus karya anak bangsa harus apresiasin terus kembang bagus walau ada beberapa bug,positif,positif
game pepek,negatif,negatif
game indonesia bagus,positif,positif
game nya the best salut sama game lokal,netral,negatif
games sangat baik bisa jadi orang sukses,positif,positif
gamenya bagus tapi tolong karakter nya tambah,positif,positif
game nya sudah bagus mintambahin juga level ny biar seru,positif,positif
gamenya bagus banget ada susah ada gampang bagus pokok tapi level masih dikit diupdate lagi gamenya level nya banyakkin karakter tambahin powerupnya juga tambah saja  moga diupdate besar,positif,positif
grafik jelek sakit mata,negatif,negatif
sudah win ah lawan heru kelink tidak ada lanjut lagi seru jink,positif,negatif
game nya bagus bagus bet sudah wajib download btw aman tidak  takut ada tukang bakso ,positif,positif
waduh,positif,positif
game nys bagus tapi banyak bug kurang p u a n m e g a c a n uwuww,positif,positif
game gimick,negatif,negatif
game sangat seru sungguh hibur ,positif,positif
tidak bisa download,negatif,negatif
gambar jokowi memang bagus kamu bagus sumpah saya senang,positif,positif
kok tidak ada megawati,positif,negatif
muncul kelompokkelompok masyarakat tidak mudah bagi kita wajib tahu tempe bacem tempe bacem wajib tahu tempe bacem tempe bacem wajib tahu cinta musik mulai tanggal kamis jumat tidak tahu bagaimana cara dapat backlink gratis bisa kita wajib tahu tempe bacem tempe bacem wajib tahu tidak ada komentar baik tempe tidak mudah bagi kita wajib tahu cinta mus,positif,negatif
ini game bagus bet sudah hhahah,positif,netral
bagus guys main buru donlowad  pasti nagih ,positif,positif
gemya sangat bagus sekali,positif,positif
saya takutt,positif,positif
bagus tingkat bakat tapi lebih bagus tambah banteng merah,positif,positif
game nya tidak biya dowload,netral,negatif
gamenya bagus buat isi waktu luang,positif,positif
worti,positif,positif
enak banget  game,positif,negatif
tidak bisa install,negatif,negatif
game nya bagus tolong banyakin lagi karakter nya bangg pliss,positif,positif
tidak ad jahat megawati nya tidak seruterus tambahin pitur lawan bos koruptor utama puan sama mega bos kuat,positif,negatif
gemnya bagus,positif,positif
oke sudah,positif,negatif
bagus,positif,positif
helo developer buat game tualang jokowi  kenapa kita kasih senjata biasa saja sedang bos pakai kacamata hitam sedang dia pakai tongkat bola bisbol apakah curang kenapa bos pakai kacamata hitam tambah darah cepet banget kalo dia kabur saya tembak atu pakai pisau atu katana tembus apa luar nalar sudah saya benar game anda bagus tapi banyak kurang,positif,positif
gema ane,positif,positif
gatau belum coba ,positif,positif
keren,positif,positif
geme seru panter buat nunggu buka puasa,positif,positif
weh ngawwuoor iki game sopo ki seng nggawe ,negatif,negatif
bagus cuy kwkwkkwk,positif,positif
gamenya bagus btw developer aman,positif,positif
mohon tingkat lagi kalo game nya kaya free firemobile legend lebih seru,positif,netral
min coba tambahin karakter jesus supaya bisa jokowi vs jesus,positif,positif
nama nya hina jokowi,positif,positif
payah nama hina presiden,positif,positif
bang saran tambahin megachan,positif,positif
mekanik lumayan seru juga cukup sulit bagus sudah,positif,positif
game nya memang sudah ijin nin sama bapak jokowi,negatif,netral
ko gabisa install,negatif,negatif
asa banget makar nya,positif,netral
kayak kalau game jadi konten youtube pasti bagus ,positif,positif
gabisa diinstal awokwk,negatif,negatif
harus tambah karakter pimpin pki tn aidit,positif,positif
game nya bagus seru lagi bisa bikin emosi pesan buat bikin game hatihati nanti ciduk intel,positif,positif
kasih ultimate bansos ngab,negatif,negatif
tidak bisa banding bandingke peran pertama orang indonesia,positif,negatif
penting jokowi,positif,positif
game apa  ajg kok ada jokowitapi gpp  seru sedikit,positif,netral
game bagus banget anak saya suka main ny,positif,positif
anjir ngakak cok jokowi dalam game,positif,positif
bagus banget,positif,positif
ezz bet,netral,positif
anjass ngab owii cuyy,positif,negatif
game nya bagus banget rekomendasi baut main,positif,positif
tambah karakter lain dongmsh ada bu megapuandll,positif,positif
tambahin boss battle lawan megawati puan ferdy sambo,positif,positif
gpp ,netral,positif
kamu nanya,positif,positif
saya kasih bintak lima karena gema bagus,positif,positif
semangat pakde,positif,positif
bikinin game tualang jokowi nyalon capres periode,positif,positif
game nya jelek banget burik lebih game seblahgak bisa download,negatif,negatif
gajelas jokowinya,negatif,negatif
siap periode,positif,positif
main annya sant seru tualang jokowi,positif,positif
inti bagus,positif,positif
lumayan,netral,positif
ampas jokowi mas gembok mending buat karakter maruf amin,negatif,positif
apakah ada tarung antara pdi vs golkar,positif,positif
hegs,positif,positif
gamenya seru ada karakter pak jokowinya tambahin lagi level biar makin seru,positif,positif
jokowi gaada dameg nya bg ,positif,positif
grafik bagus kalau nonong,positif,positif
bugus,negatif,positif
b ajh,positif,positif
tolong bantu saya cepattin download nya ya terima kasih saya minta tolong cepattin download nya ya terima kasih,positif,netral
game bagus tapi agak ngebag segdikit,positif,positif
kerenn banget kalo bisa tambah lagi karakter bang,positif,netral
tidak jeas gamenya,negatif,negatif
fbi dsini,positif,positif
nice pak jokowi,positif,positif
bagus game nya sangat hd,negatif,positif
game nya bagus sudah tu saja ya adek,positif,netral
good,positif,positif
sedikit saran kalau bisa tambahin megawati jual pulau ,positif,netral
gamenya serulucu ngakak wkwkwkwk tolong bang tambah lagi level plis bang,positif,positif
tolong tambah buk puan,positif,positif
penting rating,positif,positif
gajelas,negatif,positif
so bakso,positif,positif
hello kenal saya cherry saya coba main game overall game saya rating tapi saya kasi bintang game lumayan seru mainkantetapi ada banyak bugtolong segara baik yasaya suka main game sangat hibur saya buat saya tertawasaya juga rekam main game walaupun saya kasi short cut vid nya mungkin kapan kapan saya akan postterima kasih game walau bikin saya cape tapi giving me joy gitu paham  yathx,positif,positif
gamee nyaa seruu skksksksks,positif,positif
oke,positif,negatif
game paling bagus karya anak bangsa ,positif,positif
ahok nya bagus bagus banget awal awal karakter pak jokowi prabowo juga tidak kalah bagus pakai dalam tempur next update tolong pak prabowo skillnya bisa summon tni,positif,positif
kamu nanya game nya bagus atau tidak,positif,negatif
game sangat muas,positif,positif
game nya bagus banget tapi tidak tau kenapa tiap saya main game kok tibatiba ada tukang baso lewat ya,positif,netral
seru karena ada jokowi,positif,positif
asik  game tapi agak ada ngebug,positif,positif
game jelek saya saja baru cobain pokok jangan download titk,negatif,negatif
bagus semangat,positif,positif
saya rasa jadi super jokowi,positif,positif
game nya bagus banget sh hahah,netral,positif
game nya baguss,positif,negatif
anjay ni game seru bet gua langsung kasih bintang sudah seru bet,positif,positif
tidak bisa main game,negatif,negatif
bagus aplikasi bang lebih bagus semua karakter jabat lord luhutmba puan mba megawatikanjeung dimasfredysambo sudah segitu ulas saya ,positif,positif
update lanjut tolong tambahin karakter soehardto pliss,negatif,positif
tambahin puan mega  dev ,positif,positif
bukan ngab owi,negatif,negatif
gua main rumah gua nya tiba tiba banyak tukang bakso,positif,positif
jir ada jokowi,positif,positif
tidak asik karakter cuman dikit sudah gitu skil nya sama,negatif,negatif
susah banget,positif,negatif
tolol lol,negatif,positif
game nya bagusjokowi nya planga plongo njirrcoba karakter teroris ditambahin joe biden donald trump sumanto bossnya putin,positif,netral
wah game nya bagus banget ,positif,positif
minimal kalau awal level harus lawan nya mudah dulu baru main sudah lawan berapa orang ajg emangg,negatif,positif
seru,positif,positif
game meme favorite,positif,negatif
yo tidak tau kok tanya saya,positif,negatif
semangat devloper bikin game nya,positif,positif
jokowi nya noob,negatif,positif
wah game nya bagus banget,positif,positif
apakah developer sudah punya jamin aman uu ite,positif,positif
lmao pis kang  sedikit saran gwejh bisa bebas pilihambil senjata lawan sudah mati harga pakde jokowinya mahal banget kalo bisa diturunin hargannya terus darah boros banget tiba kurang sendiri padahal nggk ada ngelawan sama tambahin karakter megawati sama puan sudah saja terima kasih telah buat game moga luwh sehat selalu,positif,netral
kapan update lagi min sudah tidak sabar saya mau hajar semua koruptor jahat game ,positif,positif
sangat sangat yntkts,positif,positif
halo pak jokowi ,positif,positif
greget,positif,positif
gg gaming gess,positif,positif
maaf pake data tidak ya,netral,netral
tiktok bukan ,positif,negatif
auah gelap ,positif,positif
tidak bisa diinstal,negatif,netral
jelek,negatif,negatif
gamenya bagus banget apa lagi pas pake ahok kbl kbl kbl bagus banget loh,negatif,positif
jokowinya jelek tidak sopan,negatif,negatif
bintang,positif,negatif
baguss,positif,positif
bang developer tolong tambahin bu mega biar makin seru tambahin level banyak juga terima kasih,positif,positif
bintang satu buat jokowi,negatif,positif
gabisa donlot anying,negatif,negatif
bagus bg ,positif,positif
grafik nya bagus gameplay juga gampang sangat ramah hp kentang saran saya tambahin karakter baru yaitu lord luhut serta megawatzy,positif,positif
bro tolong buat karakter samsudin broo,positif,positif
game kandung tukang bakso sampai rumah saia banyak tukang bakso,negatif,positif
sudah bagustp kurang mega chan sama mode ngutang,positif,positif
kocak,positif,positif
saya mau basmi para koruptor dpr cabulers,positif,positif
kon,negatif,positif
sementara saya kasih bitang duluklo sudah dimainin saya tambah bintang lagi,negatif,positif
gua kecewa sama apk gua mau donload tidak punya kuota harus baik laggi apk nya biar gua punya kuota buat donload game,positif,netral
bagus saya  yes tapi lain kali buat bisa mabar biar acimalaka,positif,positif
kelazz,positif,positif
bangga sama karya anak bangsa,positif,positif
jokowi salto,positif,positif
hanya indonesia presiden jadi game atau meme,positif,positif
tolong tambah karakter soeharto,positif,positif
bang napa musuh kebal semua pas saya tonjok tidak ada damage ya bang,netral,netral
saya suka game,positif,positif
apik,negatif,positif
tidak bisa download,negatif,negatif
contoh contoh orang ken kasih sepeda,negatif,positif
drh karakter lembek gilir musuh keras cih,negatif,positif
bah kalo pilih presiden baru bagaimana paksa  ada karakter baru,positif,positif
moga periode,positif,positif
sementara saya beri bintang soal gabisa pake budguard nya cuman bisa,positif,negatif
game yah bagus tapi kasih tambah pak kumis kaisar hirohito,positif,positif
game bagus tantang,positif,positif
terus karya min ,positif,positif
rem,positif,positif
jelek,negatif,negatif
bagus gamenya,positif,positif
game nya bagus tapi grafik nya kurang,positif,netral
mboh,positif,positif
game nya bagus cuman belum perna maen game saya hamya ikut komenan saja,negatif,positif
maen game nya sambil makan jengkol goreng manteep,positif,netral
ahog ,positif,positif
game sangat kelas kayak duta kelas tapi kurang seru karena tidak bisa coba next level,positif,positif
game nya bagus min tinggal tunggu update ikut tambahin karakter tuan mahalini,positif,positif
kibar saya merdeka superemasii partai banteng merah,positif,positif
jokowi,positif,positif
download gar liat bg qorygore maen ,positif,negatif
kurang bu mega  sama pak luhut jhahaha v,netral,positif
sangat inspiratif,positif,positif
oke saja,positif,negatif
iya,positif,positif
bagus ajg,positif,positif
waw sangat emejing kalih telah main game jiwa periode saya tinggi yknts,positif,positif
game tidak jelas njeng,negatif,negatif
gamenya bagus,positif,positif
gg jokowi,positif,positif
hulu ruksak,positif,positif
komtolodong,negatif,positif
mkst loh affh musuh pake senapan gwehj tangan kosong kata jokowi tokoh ahok,negatif,netral
game apa cok gajelas,negatif,negatif
game bagus banget plis jangan blokir ya kominfo,positif,netral
gamenya bagus tambah chr puan maharani ya bang,positif,positif
owi,positif,positif
game nya bgus bg cuma kadang agak bug tapi gpp semangat terus ya bikin game indonesia,positif,netral
tidak bisa install,negatif,negatif
next update kasih karakter baru yaitu pak presiden soeharto,positif,positif
bintang ultimatenya tidak sampe periode,negatif,negatif
telah main game saya rasa kalau anak bangsa punya bakat luar biasa mungkin tahun lagi game karya lokal bakal tingkat kualitas bahkan bisa lampau game kenal seperti gta san andreas bahkan platform seperti steam pun akan sepi ketar ketirr karena kalah denga game karya anak bangsa super epikk btw game jalan cerita bagus cerita orang mc juang sejahtera masyarakat mafia minyak goreng bansos,positif,positif
kapan update nya,positif,positif
gamenya lebay banget harus ada adegan masuk gorong gorong harus ada karakter megawati tompel gedein harus musuh sama habib riziq,negatif,netral
bagai warga baik saya kasih bintang,positif,negatif
games nya bagus banget sedikit saran tambahin karakter presiden ,positif,positif
game nya bagus bangett,positif,positif
maenkan belum larang ,positif,positif
tolong gamenya ada mode blusukan,positif,positif
tidak ramah anak anak,negatif,negatif
jokowii,positif,positif
bug fashion bukan tualang kaya tawur,negatif,positif
tambah tsunade  kalo bisa,positif,netral
good,positif,positif
jokowi dsni tidak jadi tameng nya bu mega,negatif,netral
game tidak jelas,negatif,negatif
saya kok tidak bisa install bang bom daftar pse kah,positif,negatif
saya kok gabisa install ,positif,negatif
nggk ada orang peduli lemah karakter misi pertama sudah kek lawan raja,negatif,positif
tambah megawati puan tokoh pdip lai,positif,positif
game saya cari cocok main alumni kos hikmah maupun mereka masih timba ilmu sana tapi aman tidak ada tukang bakso tiba mangkal depan rumah,positif,positif
tidak sedikit,negatif,negatif
